Subah sadiq,,Tulu Aftab,,Zawal,,Asr 1,,Asr 2,,Magrib,,Isha,,Month,Date
5,56,7,15,12,46,3,54,4,41,6,17,7,35,Feb,1
5,56,7,15,12,46,3,54,4,42,6,17,7,36,Feb,2
5,56,7,14,12,46,3,55,4,42,6,18,7,36,Feb,3
5,55,7,14,12,46,3,55,4,42,6,18,7,36,Feb,4
5,55,7,14,12,46,3,56,4,43,6,19,7,37,Feb,5
5,54,7,13,12,46,3,56,4,44,6,20,7,38,Feb,6
5,54,7,12,12,46,3,57,4,44,6,21,7,39,Feb,7
5,53,7,12,12,46,3,57,4,45,6,21,7,39,Feb,8
5,53,7,11,12,46,3,58,4,46,6,22,7,40,Feb,9
5,52,7,10,12,46,3,58,4,46,6,23,7,40,Feb,10
5,52,7,10,12,46,3,59,4,47,6,23,7,41,Feb,11
5,51,7,9,12,46,3,59,4,47,6,24,7,41,Feb,12
5,51,7,8,12,46,4,0,4,48,6,25,7,42,Feb,13
5,50,7,8,12,46,4,0,4,49,6,26,7,43,Feb,14
5,50,7,7,12,46,4,1,4,49,6,26,7,43,Feb,15
5,49,7,6,12,46,4,1,4,50,6,27,7,44,Feb,16
5,48,7,5,12,46,4,2,4,50,6,27,7,44,Feb,17
5,47,7,5,12,46,4,2,4,51,6,28,7,45,Feb,18
5,47,7,4,12,46,4,2,4,51,6,29,7,45,Feb,19
5,46,7,3,12,46,4,3,4,52,6,30,7,46,Feb,20
5,45,7,2,12,46,4,3,4,52,6,30,7,46,Feb,21
5,44,7,1,12,46,4,3,4,53,6,31,7,47,Feb,22
5,44,7,0,12,46,4,3,4,53,6,31,7,47,Feb,23
5,43,6,59,12,45,4,4,4,54,6,32,7,48,Feb,24
5,42,6,59,12,45,4,4,4,54,6,32,7,48,Feb,25
5,42,6,58,12,45,4,4,4,55,6,33,7,49,Feb,26
5,41,6,57,12,45,4,4,4,56,6,33,7,49,Feb,27
5,40,6,56,12,45,4,5,4,56,6,33,7,50,Feb,28
5,39,6,56,12,45,4,5,4,57,6,34,7,50,Feb,29
5,38,6,55,12,44,4,5,4,57,6,34,7,50,March,1
5,37,6,54,12,44,4,5,4,57,6,35,7,50,March,2
5,37,6,53,12,44,4,5,4,57,6,35,7,51,March,3
5,36,6,52,12,44,4,5,4,57,6,36,7,52,March,4
5,35,6,51,12,44,4,5,4,58,6,36,7,52,March,5
5,34,6,50,12,43,4,5,4,59,6,37,7,53,March,6
5,33,6,49,12,43,4,5,4,59,6,37,7,53,March,7
5,32,6,48,12,43,4,5,4,59,6,38,7,54,March,8
5,31,6,47,12,43,4,6,4,59,6,38,7,54,March,9
5,30,6,46,12,42,4,6,5,0,6,39,7,55,March,10
5,29,6,45,12,42,4,6,5,0,6,39,7,55,March,11
5,28,6,44,12,42,4,6,5,0,6,40,7,56,March,12
5,27,6,43,12,41,4,6,5,0,6,40,7,56,March,13
5,26,6,42,12,41,4,6,5,0,6,41,7,56,March,14
5,25,6,41,12,41,4,6,5,1,6,41,7,57,March,15
5,24,6,40,12,41,4,6,5,1,6,42,7,57,March,16
5,23,6,39,12,40,4,6,5,1,6,42,7,58,March,17
5,22,6,38,12,40,4,6,5,1,6,42,7,58,March,18
5,21,6,37,12,40,4,6,5,1,6,43,7,59,March,19
5,20,6,36,12,39,4,6,5,2,6,43,7,59,March,20
5,19,6,35,12,39,4,5,5,2,6,44,8,0,March,21
5,18,6,34,12,39,4,5,5,2,6,44,8,0,March,22
5,17,6,33,12,39,4,5,5,2,6,45,8,0,March,23
5,16,6,32,12,38,4,5,5,2,6,45,8,1,March,24
5,15,6,31,12,38,4,5,5,3,6,45,8,2,March,25
5,13,6,30,12,38,4,5,5,3,6,46,8,3,March,26
5,12,6,29,12,37,4,5,5,3,6,46,8,3,March,27
5,11,6,28,12,37,4,5,5,3,6,47,8,4,March,28
5,10,6,27,12,37,4,4,5,3,6,47,8,4,March,29
5,9,6,26,12,37,4,4,5,3,6,47,8,5,March,30
5,8,6,25,12,36,4,4,5,3,6,48,8,5,March,31
5,7,6,24,12,36,4,4,5,4,6,48,8,8,April,1
5,6,6,23,12,36,4,4,5,4,6,48,8,6,April,2
5,4,6,22,12,35,4,4,5,4,6,49,8,6,April,3
5,3,6,21,12,35,4,3,5,4,6,49,8,7,April,4
5,2,6,20,12,35,4,3,5,4,6,50,8,8,April,5
5,1,6,19,12,34,4,3,5,4,6,50,8,8,April,6
5,0,6,18,12,34,4,3,5,4,6,51,8,9,April,7
4,59,6,17,12,34,4,2,5,5,6,51,8,9,April,8
4,58,6,16,12,34,4,2,5,5,6,52,8,10,April,9
4,57,6,15,12,33,4,2,5,5,6,52,8,10,April,10
4,56,6,14,12,33,4,2,5,5,6,52,8,11,April,11
4,54,6,13,12,33,4,1,5,5,6,53,8,11,April,12
4,53,6,11,12,32,4,1,5,5,6,53,8,12,April,13
4,52,6,11,12,32,4,1,5,5,6,54,8,12,April,14
4,51,6,10,12,32,4,1,5,5,6,54,8,13,April,15
4,50,6,9,12,32,4,1,5,5,6,55,8,14,April,16
4,49,6,8,12,32,4,0,5,5,6,55,8,14,April,17
4,48,6,8,12,31,4,0,5,5,6,56,8,15,April,18
4,47,6,6,12,31,4,0,5,5,6,56,8,16,April,19
4,46,6,5,12,31,4,0,5,6,6,57,8,16,April,20
4,45,6,4,12,31,3,59,5,6,6,57,8,17,April,21
4,44,6,3,12,31,3,59,5,6,6,58,8,17,April,22
4,43,6,3,12,30,3,59,5,6,6,58,8,18,April,23
4,41,6,2,12,30,3,59,5,6,6,58,8,19,April,24
4,40,6,1,12,30,3,58,5,6,6,59,8,19,April,25
4,39,6,1,12,30,3,58,5,6,6,59,8,20,April,26
4,39,6,0,12,30,3,58,5,7,7,0,8,21,April,27
4,38,5,59,12,29,3,57,5,7,7,1,8,21,April,28
4,37,5,58,12,29,3,57,5,7,7,1,8,22,April,29
4,36,5,57,12,29,3,57,5,7,7,2,8,22,April,30
4,15,5,42,12,30,3,52,5,13,7,17,8,45,June,1
4,14,5,42,12,30,3,52,5,13,7,18,8,45,June,2
4,14,5,42,12,30,3,52,5,13,7,18,8,46,June,3
4,14,5,42,12,30,3,52,5,13,7,19,8,46,June,4
4,14,5,42,12,30,3,53,5,13,7,19,8,47,June,5
4,13,5,41,12,30,3,53,5,13,7,20,8,48,June,6
4,13,5,41,12,31,3,53,5,14,7,20,8,48,June,7
4,13,5,41,12,31,3,53,5,14,7,21,8,49,June,8
4,13,5,41,12,31,3,53,5,14,7,21,8,49,June,9
4,13,5,41,12,31,3,53,5,14,7,21,8,50,June,10
4,13,5,41,12,32,3,53,5,14,7,22,8,50,June,11
4,13,5,41,12,32,3,53,5,15,7,22,8,51,June,12
4,13,5,41,12,32,3,53,5,15,7,23,8,51,June,13
4,13,5,41,12,32,3,53,5,15,7,23,8,52,June,14
4,13,5,41,12,32,3,54,5,15,7,23,8,52,June,15
4,13,5,41,12,33,3,54,5,15,7,23,8,52,June,16
4,13,5,41,12,33,3,54,5,16,7,24,8,52,June,17
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,18
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,19
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,20
4,14,5,42,12,34,3,55,5,17,7,25,8,53,June,21
4,14,5,42,12,34,3,55,5,17,7,25,8,54,June,22
4,14,5,43,12,34,3,55,5,17,7,25,8,54,June,23
