Month,Date,Subah_sadiq,Tulu_aaftab,Zawal,Asr,Maghrib,Isha
1,1,05:43:00 AM,07:12:00 AM,12:11:00,14:51:00,17:10:00,18:39:00
2,1,05:44:00 AM,07:13:00 AM,12:12:00,14:52:00,17:11:00,18:40:00
3,1,05:44:00 AM,07:13:00 AM,12:12:00,14:53:00,17:11:00,18:40:00
4,1,05:44:00 AM,07:13:00 AM,12:13:00,14:53:00,17:12:00,18:41:00
5,1,05:44:00 AM,07:13:00 AM,12:13:00,14:54:00,17:13:00,18:42:00
6,1,05:45:00 AM,07:13:00 AM,12:13:00,14:55:00,17:14:00,18:42:00
7,1,05:45:00 AM,07:13:00 AM,12:14:00,14:55:00,17:15:00,18:43:00
8,1,05:45:00 AM,07:13:00 AM,12:14:00,14:56:00,17:16:00,18:44:00
9,1,05:45:00 AM,07:13:00 AM,12:15:00,14:57:00,17:16:00,18:45:00
10,1,05:45:00 AM,07:13:00 AM,12:15:00,14:58:00,17:17:00,18:45:00
11,1,05:45:00 AM,07:13:00 AM,12:16:00,14:58:00,17:18:00,18:46:00
12,1,05:45:00 AM,07:13:00 AM,12:16:00,14:59:00,17:19:00,18:47:00
1,13,05:45:00 AM,07:13:00 AM,12:16:00,15:00:00,17:20:00,18:48:00
1,14,05:45:00 AM,07:13:00 AM,12:17:00,15:01:00,17:21:00,18:49:00
1,15,05:45:00 AM,07:13:00 AM,12:17:00,15:02:00,17:22:00,18:49:00
1,16,05:45:00 AM,07:12:00 AM,12:17:00,15:02:00,17:23:00,18:50:00
1,17,05:45:00 AM,07:12:00 AM,12:18:00,15:03:00,17:24:00,18:51:00
1,18,05:45:00 AM,07:12:00 AM,12:18:00,15:04:00,17:25:00,18:52:00
1,19,05:44:00 AM,07:12:00 AM,12:18:00,15:05:00,17:26:00,18:53:00
1,20,05:44:00 AM,07:11:00 AM,12:19:00,15:06:00,17:27:00,18:53:00
1,21,05:44:00 AM,07:11:00 AM,12:19:00,15:07:00,17:27:00,18:54:00
1,22,05:44:00 AM,07:10:00 AM,12:19:00,15:07:00,17:28:00,18:55:00
1,23,05:43:00 AM,07:10:00 AM,12:20:00,15:08:00,17:29:00,18:56:00
1,24,05:43:00 AM,07:10:00 AM,12:20:00,15:09:00,17:30:00,18:57:00
1,25,05:43:00 AM,07:09:00 AM,12:20:00,15:10:00,17:31:00,18:58:00
1,26,05:42:00 AM,07:09:00 AM,12:20:00,15:11:00,17:32:00,18:59:00
1,27,05:42:00 AM,07:08:00 AM,12:20:00,15:11:00,17:33:00,18:59:00
1,28,05:41:00 AM,07:07:00 AM,12:21:00,15:12:00,17:34:00,19:00:00
1,29,05:41:00 AM,07:07:00 AM,12:21:00,15:13:00,17:35:00,19:01:00
1,30,05:41:00 AM,07:06:00 AM,12:21:00,15:14:00,17:36:00,19:02:00
1,31,05:40:00 AM,07:06:00 AM,12:21:00,15:15:00,17:37:00,19:03:00
1,2,05:40:00 AM,07:05:00 AM,12:21:00,15:15:00,17:38:00,19:04:00
2,2,05:39:00 AM,07:04:00 AM,12:21:00,15:16:00,17:39:00,19:04:00
3,2,05:38:00 AM,07:03:00 AM,12:22:00,15:17:00,17:40:00,19:05:00
4,2,05:38:00 AM,07:03:00 AM,12:22:00,15:18:00,17:41:00,19:06:00
5,2,05:37:00 AM,07:02:00 AM,12:22:00,15:19:00,17:42:00,19:07:00
