Month,Date,Subah_sadiq,Tulu_aaftab,Zawal,Asr_1,Asr_2,Magrib,Isha
2,1,05:56,07:15,12:46,15:54,16:41,18:17,19:35
2,2,05:56,07:15,12:46,15:54,16:42,18:17,19:36
2,3,05:56,07:14,12:46,15:55,16:42,18:18,19:36
2,4,05:55,07:14,12:46,15:55,16:42,18:18,19:36
2,5,05:55,07:14,12:46,15:56,16:43,18:19,19:37
2,6,05:54,07:13,12:46,15:56,16:44,18:20,19:38
2,7,05:54,07:12,12:46,15:57,16:44,18:21,19:39
2,8,05:53,07:12,12:46,15:57,16:45,18:21,19:39
2,9,05:53,07:11,12:46,15:58,16:46,18:22,19:40
2,10,05:52,07:10,12:46,15:58,16:46,18:23,19:40
2,11,05:52,07:10,12:46,15:59,16:47,18:23,19:41
2,12,05:51,07:09,12:46,15:59,16:47,18:24,19:41
2,13,05:51,07:08,12:46,16:00,16:48,18:25,19:42
2,14,05:50,07:08,12:46,16:00,16:49,18:26,19:43
2,15,05:50,07:07,12:46,16:01,16:49,18:26,19:43
2,16,05:49,07:06,12:46,16:01,16:50,18:27,19:44
2,17,05:48,07:05,12:46,16:02,16:50,18:27,19:44
2,18,05:47,07:05,12:46,16:02,16:51,18:28,19:45
2,19,05:47,07:04,12:46,16:02,16:51,18:29,19:45
2,20,05:46,07:03,12:46,16:03,16:52,18:30,19:46
2,21,05:45,07:02,12:46,16:03,16:52,18:30,19:46
2,22,05:44,07:01,12:46,16:03,16:53,18:31,19:47
2,23,05:44,07:00,12:46,16:03,16:53,18:31,19:47
2,24,05:43,06:59,12:45,16:04,16:54,18:32,19:48
2,25,05:42,06:59,12:45,16:04,16:54,18:32,19:48
2,26,05:42,06:58,12:45,16:04,16:55,18:33,19:49
2,27,05:41,06:57,12:45,16:04,16:56,18:33,19:49
2,28,05:40,06:56,12:45,16:05,16:56,18:33,19:50
2,29,05:39,06:56,12:45,16:05,16:57,18:34,19:50
3,1,05:38,06:55,12:44,16:05,16:57,18:34,19:50
3,2,05:37,06:54,12:44,16:05,16:57,18:35,19:50
3,3,05:37,06:53,12:44,16:05,16:57,18:35,19:51
3,4,05:36,06:52,12:44,16:05,16:57,18:36,19:52
3,5,05:35,06:51,12:44,16:05,16:58,18:36,19:52
3,6,05:34,06:50,12:43,16:05,16:59,18:37,19:53
3,7,05:33,06:49,12:43,16:05,16:59,18:37,19:53
3,8,05:32,06:48,12:43,16:05,16:59,18:38,19:54
3,9,05:31,06:47,12:43,16:06,16:59,18:38,19:54
3,10,05:30,06:46,12:42,16:06,17:00,18:39,19:55
3,11,05:29,06:45,12:42,16:06,17:00,18:39,19:55
3,12,05:28,06:44,12:42,16:06,17:00,18:40,19:56
3,13,05:27,06:43,12:41,16:06,17:00,18:40,19:56
3,14,05:26,06:42,12:41,16:06,17:00,18:41,19:56
3,15,05:25,06:41,12:41,16:06,17:01,18:41,19:57
3,16,05:24,06:40,12:41,16:06,17:01,18:42,19:57
3,17,05:23,06:39,12:40,16:06,17:01,18:42,19:58
3,18,05:22,06:38,12:40,16:06,17:01,18:42,19:58
3,19,05:21,06:37,12:40,16:06,17:01,18:43,19:59
3,20,05:20,06:36,12:39,16:06,17:02,18:43,19:59
3,21,05:19,06:35,12:39,16:05,17:02,18:44,20:00
3,22,05:18,06:34,12:39,16:05,17:02,18:44,20:00
3,23,05:17,06:33,12:39,16:05,17:02,18:45,20:00
3,24,05:16,06:32,12:38,16:05,17:02,18:45,20:01
3,25,05:15,06:31,12:38,16:05,17:03,18:45,20:02
3,26,05:13,06:30,12:38,16:05,17:03,18:46,20:03
3,27,05:12,06:29,12:37,16:05,17:03,18:46,20:03
3,28,05:11,06:28,12:37,16:05,17:03,18:47,20:04
3,29,05:10,06:27,12:37,16:04,17:03,18:47,20:04
3,30,05:09,06:26,12:37,16:04,17:03,18:47,20:05
3,31,05:08,06:25,12:36,16:04,17:03,18:48,20:05
4,1,05:07,06:24,12:36,16:04,17:04,18:48,20:08
4,2,05:06,06:23,12:36,16:04,17:04,18:48,20:06
4,3,05:04,06:22,12:35,16:04,17:04,18:49,20:06
4,4,05:03,06:21,12:35,16:03,17:04,18:49,20:07
4,5,05:02,06:20,12:35,16:03,17:04,18:50,20:08
4,6,05:01,06:19,12:34,16:03,17:04,18:50,20:08
4,7,05:00,06:18,12:34,16:03,17:04,18:51,20:09
4,8,04:59,06:17,12:34,16:02,17:05,18:51,20:09
4,9,04:58,06:16,12:34,16:02,17:05,18:52,20:10
4,10,04:57,06:15,12:33,16:02,17:05,18:52,20:10
4,11,04:56,06:14,12:33,16:02,17:05,18:52,20:11
4,12,04:54,06:13,12:33,16:01,17:05,18:53,20:11
4,13,04:53,06:11,12:32,16:01,17:05,18:53,20:12
4,14,04:52,06:11,12:32,16:01,17:05,18:54,20:12
4,15,04:51,06:10,12:32,16:01,17:05,18:54,20:13
4,16,04:50,06:09,12:32,16:01,17:05,18:55,20:14
4,17,04:49,06:08,12:32,16:00,17:05,18:55,20:14
4,18,04:48,06:08,12:31,16:00,17:05,18:56,20:15
4,19,04:47,06:06,12:31,16:00,17:05,18:56,20:16
4,20,04:46,06:05,12:31,16:00,17:06,18:57,20:16
4,21,04:45,06:04,12:31,15:59,17:06,18:57,20:17
4,22,04:44,06:03,12:31,15:59,17:06,18:58,20:17
4,23,04:43,06:03,12:30,15:59,17:06,18:58,20:18
4,24,04:41,06:02,12:30,15:59,17:06,18:58,20:19
4,25,04:40,06:01,12:30,15:58,17:06,18:59,20:19
4,26,04:39,06:01,12:30,15:58,17:06,18:59,20:20
4,27,04:39,06:00,12:30,15:58,17:07,19:00,20:21
4,28,04:38,05:59,12:29,15:57,17:07,19:01,20:21
4,29,04:37,05:58,12:29,15:57,17:07,19:01,20:22
4,30,04:36,05:57,12:29,15:57,17:07,19:02,20:22
6,1,04:15,05:42,12:30,15:52,17:13,19:17,20:45
6,2,04:14,05:42,12:30,15:52,17:13,19:18,20:45
6,3,04:14,05:42,12:30,15:52,17:13,19:18,20:46
6,4,04:14,05:42,12:30,15:52,17:13,19:19,20:46
6,5,04:14,05:42,12:30,15:53,17:13,19:19,20:47
6,6,04:13,05:41,12:30,15:53,17:13,19:20,20:48
6,7,04:13,05:41,12:31,15:53,17:14,19:20,20:48
6,8,04:13,05:41,12:31,15:53,17:14,19:21,20:49
6,9,04:13,05:41,12:31,15:53,17:14,19:21,20:49
6,10,04:13,05:41,12:31,15:53,17:14,19:21,20:50
6,11,04:13,05:41,12:32,15:53,17:14,19:22,20:50
6,12,04:13,05:41,12:32,15:53,17:15,19:22,20:51
6,13,04:13,05:41,12:32,15:53,17:15,19:23,20:51
6,14,04:13,05:41,12:32,15:53,17:15,19:23,20:52
6,15,04:13,05:41,12:32,15:54,17:15,19:23,20:52
6,16,04:13,05:41,12:33,15:54,17:15,19:23,20:52
6,17,04:13,05:41,12:33,15:54,17:16,19:24,20:52
6,18,04:13,05:42,12:33,15:54,17:16,19:24,20:53
6,19,04:13,05:42,12:33,15:54,17:16,19:24,20:53
6,20,04:13,05:42,12:33,15:54,17:16,19:24,20:53
6,21,04:14,05:42,12:34,15:55,17:17,19:25,20:53
6,22,04:14,05:42,12:34,15:55,17:17,19:25,20:54
6,23,04:14,05:43,12:34,15:55,17:17,19:25,20:54
6,24,04:14,05:43,12:34,15:55,17:17,19:25,20:54
6,25,04:15,05:43,12:35,15:56,17:18,19:26,20:54
6,26,04:15,05:43,12:35,15:56,17:18,19:26,20:54
6,27,04:15,05:44,12:35,15:56,17:18,19:26,20:54
6,28,04:15,05:44,12:35,15:56,17:18,19:26,20:55
6,29,04:16,05:44,12:35,15:57,17:18,19:26,20:55
6,30,04:16,05:45,12:35,15:57,17:18,19:26,20:55
5,1,04:35,05:56,12:29,15:57,17:07,19:02,20:24
5,2,04:34,05:56,12:29,15:57,17:07,19:02,20:24
5,3,04:33,05:55,12:29,15:56,17:08,19:03,20:25
5,4,04:32,05:54,12:29,15:56,17:08,19:04,20:26
5,5,04:31,05:54,12:29,15:56,17:08,19:04,20:26
5,6,04:30,05:53,12:29,15:56,17:08,19:05,20:27
5,7,04:29,05:52,12:28,15:55,17:08,19:05,20:28
5,8,04:28,05:52,12:28,15:55,17:08,19:05,20:28
5,9,04:28,05:51,12:28,15:55,17:08,19:06,20:29
5,10,04:27,05:50,12:28,15:55,17:08,19:07,20:30
5,11,04:26,05:50,12:28,15:55,17:08,19:07,20:31
5,12,04:25,05:50,12:28,15:54,17:08,19:08,20:31
5,13,04:25,05:49,12:28,15:54,17:08,19:08,20:32
5,14,04:24,05:49,12:28,15:54,17:08,19:08,20:33
5,15,04:23,05:48,12:28,15:54,17:08,19:09,20:34
5,16,04:22,05:47,12:28,15:53,17:08,19:09,20:35
5,17,04:22,05:47,12:28,15:53,17:08,19:10,20:35
5,18,04:21,05:46,12:28,15:53,17:09,19:11,20:36
5,19,04:20,05:45,12:28,15:53,17:09,19:11,20:36
5,20,04:20,05:45,12:28,15:53,17:09,19:12,20:37
5,21,04:19,05:45,12:29,15:53,17:09,19:12,20:38
5,22,04:19,05:45,12:29,15:53,17:09,19:13,20:39
5,23,04:18,05:44,12:29,15:53,17:10,19:13,20:39
5,24,04:18,05:44,12:29,15:53,17:10,19:14,20:40
5,25,04:17,05:44,12:29,15:53,17:10,19:14,20:40
5,26,04:17,05:43,12:29,15:52,17:11,19:15,20:41
5,27,04:16,05:43,12:29,15:52,17:11,19:15,20:42
