Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493000,1272000,1296000,3140000,966000,862000,1612000,4159000,8403000,14387000,14763000,203225000
Angola,AGO,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139630000,182630000,232465000,144022000,62876000,153291000,335209000,654265000,816339000,1284569000,1269938000,1530134000,2083959000,1284813000,1316586000,1701659000,2288860000,3508348000,3778645000,1129620000,3131099000,2109576000,2681257000,3554361000,3723279000,4882555000,3963785000,5638627000,10406506000
Albania,ALB,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803000,0,5032000,8084000,412000,5313000,7953000,10434000,11282000,9148000,12375000,22245000,28174000,42330000,52641000,110209000,87187000,93913000,121890000,250093000,301985000,350231000,347736000,502502000,832052000,455864000,931556000
Andorra,AND,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,776614000,731460000,768433000,922873000,1006804000,982927000,1066371000,1162239000,2049493000,1313908000,1923360000,1964228000,1309192000,1382480000,842967000,1031918000,2061580000,1555243000,1426650000,1530529000,2761080000,1534347000,1179848000,2227371000,1520638000,3073509000,6369405000,8342648000,9802887000,13961330000,11688611000,11685325000,2469468000,6503243000,4980522000,3490623000,5121043000,5273662000,5663819000,11306264000,11689916000,12076190000,9784671000,11761495000,9743392000,10820570000,12079160000,26638562000
Armenia,ARM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592000,0,2817000,32830000,7533000,40163000,25672000,15300000,24046000,32920000,61666000,81441000,69176000,48599000,58465000,252879000,299738000,857040000,742190000,854048000,1599449000,1076702000,1307938000,1173448000,1120092000
American Samoa,ASM,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
