Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
AbdulBasirSalangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962 (age 55–56)salang| parwan province| afghanistan,,,,,,,,,,,,,tajik,,,,,,,,,,afghanistan,,,,,,,,,,jamiat-e islami,,,,,,,,,,,,,,,,,,,,,,
AbdulHamid(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gurudayal government college,,, (1944-01-01) 1 january 1944 (age 74)kamalpur| bengal presidency| british india (now in bangladesh),,rejwan ahammad taufiq| rasel ahmed tuhin| riad ahmed| shorna hamid,,,,,,,,,,,,,,,,,,,,,,,,,,,grand alliance (2008–present),,,,awami league,,,,,,,,,,,,,,,,rashida hamid,,,,,,
AbdullahAbdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kabul university,,, (1960-09-05) 5 september 1960 (age 58)[citation needed]kārte parwān| kingdom of afghanistan,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national coalition of afghanistan (1996-present),,,,,,,,,,,,,,,,fakhria abdullah (1993–present),,,official website,,,
AbdullahbinZayedAlNahyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united arab emirates university,,, (1972-04-30) 30 april 1972 (age 46)abu dhabi| united arab emirates,,"
fatima
mohammed
zayed
saif
",,,,,,,,,,,,zayed bin sultan al nahyan,,,,,,,,fatima bint mubarak al ketbi,,,,,,,,,,,,,,,,,,,,,,,,,,,al yazia bint saif bin mohammed al nahyan,,,,,,
AbdullaShahid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canberra college of advanced education| australiafletcher school of law and diplomacy| usa,,,,,1 daughter and 2 sons .,,,,,,,,,,,,,,,,,,,,,maldivian,,,,,,,,,,mdp[1][2],,,,,,,,,,,,,,,,,,,,,,
AbdulRahmanMohammedAlOwais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united arab emirates university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulRashidDostum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, afghanistan,,,soviet–afghan warafghan civil war (1989–92)afghan civil war (1992–96)united states invasion of afghanistanwar in afghanistan,1954 (age 63–64)[1]jowzjan| afghanistan,,,,,,,,,,,,,uzbek,,,,,,,,,,,,,,,,,,,,junbish-e milli,,,,,general,,,,,,,,afghan national army,,,,,6th corps,,,1980–present,
AbdulRaufIbrahimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962 (age 55–56)imam sahib| kunduz province| afghanistan,,6 sons| 8 daughters,,,,,,,,,,,uzbek,,,,,,,,speaker of the wolesi jirga,,afghanistan,,,,politician| legislator,,,,,,,,,,,,,,,kabul city,,,,,,,2 wives,,,,,,
AbulHassanMahmoodAli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1943-06-02) 2 june 1943 (age 75)dinajpur| bengal| british india (now in bangladesh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,awami league,,,,,,,,,,,,,,,,,,,,,,
AbulMaalAbdulMuhith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of dhakaharvard university[1],,, (1934-01-25) 25 january 1934 (age 84)sylhet| assam province| british india,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
