Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
AbdulAzizJunejo,,,,,,,,,,,,,,,, (1961-12-07) 7 december 1961 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AbdulBariPitafi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AbdulGhafoorHaideri,,,,,,,,,,,,,,,,1957 (age 60–61)[1]gazag| kalat district| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,jamiat ulema-e-islam (f),,,,,,,,,,,,,,,,,,,,
AbdulHameedDogar,,,,,,,,university of the punjab,,,,,,,, (1944-03-22) 22 march 1944 (age 74)shahldhani| british raj(now pakistan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulKarimSoomro,,,,,,,,,,,,,,,, (1962-11-03) 3 november 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AbdulKarim(theMunshi),,,,,,,,,,,,,,,,1863lalitpur near jhansi| british india,,,,,,,,,,,,,,april 1909 (aged 46)agra| british india,,,,,,,,,,,,,british indian (british subject),,,,,,,,,,,,,,,,,,,,,,,,rashidan karim,,,,,,,
AbdulMajeedKhan,,,,,,,,,,,,,,,, (1963-12-25) 25 december 1963 (age 54),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AbdulMannanKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,
AbdulQadeerAlvi,,,,,,,,,,,,,,,, (1963-02-14) 14 february 1963 (age 55)gojra tehsil,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AbdulQadirPatel,,,,,,,,federal urdu university,,,,,,,,abdul qadir8 august 1968karachi| sindh,,,,,,hussain patelabbas patel,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,karachi,,,,,,nadia qadir,,,,abdulqadirpatel.pk,,,
AbdulQuddusBizenjo,,,,,,,,,,,,,,,, (1974-01-01) 1 january 1974 (age 44)awaran| balochistan| pakistan,,,,,,,,,,,,,,,,,,mir abdul majeed bizenjo[1],,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
AbdulRaufKhoso,,,,,,,,,,,,,,,, (1960-02-05) 5 february 1960 (age 58),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AbdulRaufMughal,,,,,,,,,,,,,,,, (1947-01-01) 1 january 1947 (age 71)gujranwala,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AbdulRaufRind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mir muhammad ali rind[1],,,,,,,,,pakistani,,,,,,,,,,,balochistan awami party,,,,,,,,,,,,,,,,,,,,
AbdulRazakDawood,,,,,,,,columbia university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulRazakRaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
AbdulRehmanKhanKanju,,,,,,,,,,,,,,,, (1976-07-18) 18 july 1976 (age 42),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
AbidaBibi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AbidaMuhammadAzeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdeebaHassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
AdeelAhmed,,,"
ptlc fc","
* senior club appearances and goals counted for the domestic league only‡ national team caps and goals correct as of january 12| 2012","
krl fc",,,,,,,,,,,,,,,,,,,,,,,"
fc","
 (1981-04-25) april 25| 1981 (age 37)",,,,,,"
adeel ahmed",,,,,,,,,,,,,,,,,"
pakistan","
midfielder",,,,,,,,,,,,,,,,,,,,"
team",
AdeelShahzad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
AdilPervaizGujjar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
